hour,0,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0,8.681028812383318e-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2.080971550749019e-166,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0,0,0,8.50872809477489e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0,1.9491795662547093e-279,2.266822686263247e-139,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0,0,3.4774449833248436e-242,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0,1.0971492757291132e-133,2.6480535427281125e-99,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0,0,5.05953505439449e-221,0,0,0,1.0726825008880884e-125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0,0,2.1218583555256594e-258,0,0,0,5.929189203081485e-70,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,5.926055849894755e-5,0,0,1.4027415809613632e-157,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0,0,3.1631608272432885e-211,0,0,0,1.323771041316732e-281,0,1.316115456394363e-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0,0,2.879647595424707e-155,0,0,8.174373846362795e-112,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0,6.762289430290937e-246,9.941892371811665e-131,0,0,4.921017559322983e-37,0,0,0,0,0,0,9.021192651020075e-291,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,0,4.2867344556061073e-57,8.307456783230311e-73,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
15,0,1.2726549781991579e-55,3.236956771308942e-72,0,0,0,0,0,0,0,0,0,0,0,0.20072018159567376,NA,NA,NA,NA,NA,NA,NA
16,0,8.50872809477489e-11,9.597218933415095e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
17,0,1.4651724631114492e-65,3.969897242277453e-76,0,0,0,0,0,0,0,0,0,0,0,2.6825307295817372e-11,1.788722634248199e-15,0,NA,NA,NA,NA,NA
18,0,0,9.585363286041405e-206,0,0,0,0,0,8.29233073597869e-74,0,0,8.50872809477489e-11,0,0,0,0,0,0,NA,NA,NA,NA
19,0,7.427926669845948e-34,1.2248423681856134e-62,0,0,0,0,0,0,0,0,0,0,0,4.934172602972491e-103,5.7548207963252684e-92,0,1.1797574481183786e-176,0,NA,NA,NA
20,0,8.982092064437735e-14,3.645484641512826e-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0971492757291132e-133,NA,NA
21,0,8.29954473751422e-68,4.741131496707026e-77,0,0,0,0,1.4644e-320,0,0,0,0,0,0,1.7435714644297113e-15,4.6436645241014753e-20,0,0.12027487814166082,0,1.194607756861071e-171,0,NA
22,0,1.5994320823916448e-299,7.809449062565325e-145,0,0,1.0154864838064474e-11,0,0,0,0,0,0,9.577364922588721e-37,5.155765118873114e-77,0,0,0,0,0,0,0,0
