hour,mean,median,sd,n
0,12.68867478322413,1,73.46897332176746,5742336
1,27.08112715926271,-1,138.18139076068732,186522
2,33.95129427792916,11,116.5842208088386,23488
4,8.032815680045212,-2,70.06554283040735,261887
5,6.897341184108564,-1,63.68817740141606,6509251
6,20.028453211795455,10,72.20094550538,11523866
7,15.581954627673326,4,74.28589412401892,11975846
8,22.210925132422574,8,81.34184344369784,12213765
9,16.405024217800733,5,76.78147238147757,12206517
10,14.976487698754372,4,72.95695506710025,12806020
11,12.508035766725348,3,70.71654288202626,12854965
12,16.800212769036516,5,73.11384995046367,12853374
13,19.2541419314759,7,76.34911735475931,12838153
14,20.47143995011882,8,82.70030831585423,12809659
15,23.912244633152145,10,87.40550550527654,12985975
16,23.954508155254924,7,97.71897773722031,13085796
17,28.404538562276223,9,104.7233155134183,13061405
18,23.682364386590645,6,103.37304878311572,12963836
19,17.02491328520293,4,91.6825769531983,12747536
20,24.649824844079554,12,99.67254522085939,11734973
21,25.55546627355126,14,92.98494759265296,9707070
22,23.614496676927303,12,80.3758474889247,9419745
23,19.74967563385447,8,74.999622651266293,7682676
